PC	Hz	ET/c	P5/c	M3/c	m3/c	P5/b	M3/b	m3/b
0	262.57	6.23	-4.03	5.38	-17.84	1.83	4.08	16.15
1	277.20	0.12	0.00	19.67	-17.84	0.00	15.84	17.05
2	294.02	2.08	-4.03	9.78	-11.61	2.05	8.33	11.79
3	311.85	4.03	0.00	13.81	-21.51	0.00	12.49	23.10
4	329.23	-2.08	-1.83	17.84	-9.41	1.04	17.05	10.71
5	350.46	6.11	-1.83	7.58	-19.67	1.11	7.69	23.76
6	369.60	-1.83	0.00	21.51	-13.81	0.00	23.10	17.62
7	392.94	4.15	-4.03	7.58	-13.81	2.74	8.62	18.73
8	415.80	2.08	0.00	17.84	-19.67	0.00	21.54	28.19
9	440.00	0.00	-4.03	13.81	-9.41	3.07	17.62	14.31
10	467.78	5.99	-1.83	9.78	-21.51	1.48	13.25	34.65
11	493.33	-1.96	-1.83	19.67	-11.61	1.57	28.19	19.78
